,speed,dist,rssi_strongest,Throughput tcp
1304,0.0,170.95,-70.0,876560.0
1305,0.0,170.95,-95.0,1130410.0
1306,0.0,170.95,-96.0,876560.0
1307,0.0,170.95,-81.0,2793130.0
1308,0.0,170.95,-66.0,876560.0
1309,0.0,170.95,-94.0,906240.0
1310,0.0,170.95,-87.0,575976.0
1311,0.0,170.95,-109.0,876560.0
1312,0.0,170.95,-77.0,112312.0
1313,0.0,170.95,-89.0,645640.0
1314,0.0,33.7639,-94.0,10985700.0
1315,0.0,33.7639,-103.0,45831700.0
1316,0.0,33.7639,-88.0,45833700.0
1317,0.0,33.7639,-99.0,44685900.0
1318,0.0,33.7639,-87.0,45831700.0
1319,0.0,33.7639,-95.0,44687900.0
1320,0.0,33.7639,-67.0,45831700.0
1321,0.0,33.7639,-76.0,45831700.0
1322,0.0,33.7639,-103.0,44687900.0
1323,0.0,33.7639,-101.0,45831700.0
1324,0.0,33.7639,-70.0,44685900.0
1325,0.0,33.7639,-110.0,45833700.0
1326,0.0,33.7639,-101.0,45831700.0
1327,0.0,33.7639,-106.0,44685900.0
1328,0.0,33.7639,-87.0,45831700.0
1329,0.0,33.7639,-67.0,45099800.0
1330,0.0,33.7639,-104.0,45419700.0
1331,0.0,33.7639,-80.0,45831700.0
1332,0.0,33.7639,-67.0,44687900.0
1333,0.0,33.7639,-93.0,45831700.0
1334,0.0,33.7639,-70.0,45509100.0
1335,0.0,33.7639,-67.0,45010500.0
1336,0.0,33.7639,-95.0,45831700.0
1337,0.0,33.7639,-82.0,44685900.0
1338,0.0,33.7639,-100.0,45833700.0
1339,0.0,33.7639,-75.0,45831700.0
1340,0.0,33.7639,-104.0,44685900.0
1341,0.0,33.7639,-101.0,45833700.0
1342,0.0,33.7639,-100.0,44685900.0
1343,0.0,33.7639,-95.0,45831700.0
1344,0.0,33.7639,-105.0,45833700.0
1345,0.0,33.7639,-101.0,44685900.0
1346,0.0,33.7639,-88.0,45831700.0
1347,0.0,33.7639,-99.0,44687900.0
1348,0.0,33.7639,-76.0,45831700.0
1349,0.0,33.7639,-83.0,45831700.0
1350,0.0,33.7639,-86.0,44687900.0
1351,0.0,33.7639,-67.0,45831700.0
1352,0.0,33.7639,-109.0,44685900.0
1353,0.0,33.7639,-83.0,45833700.0
1354,0.0,33.7639,-75.0,45831700.0
1355,0.0,33.7639,-68.0,44685900.0
1356,0.0,33.7639,-70.0,45831700.0
1357,0.0,33.7639,-94.0,44687900.0
1358,0.0,33.7639,-93.0,45831700.0
1359,0.0,33.7639,-96.0,45831700.0
1360,0.0,33.7639,-70.0,44687900.0
1361,0.0,33.7639,-89.0,45831700.0
1362,0.0,33.7639,-110.0,44685900.0
1363,0.0,33.7639,-91.0,45833700.0
1364,0.0,33.7639,-108.0,45831700.0
1365,0.0,33.7639,-89.0,44685900.0
1366,0.0,33.7639,-105.0,45833700.0
1367,0.0,33.7639,-82.0,44685900.0
1368,0.0,33.7639,-92.0,45831700.0
1369,0.0,33.7639,-74.0,45833700.0
1370,0.0,33.7639,-94.0,44685900.0
1371,0.0,33.7639,-110.0,45831700.0
1372,0.0,33.7639,-79.0,44687900.0
1373,0.0,33.7639,-93.0,45831700.0
1374,0.0,33.7639,-78.0,45831700.0
1375,0.0,33.7639,-68.0,44687900.0
1376,0.0,33.7639,-66.0,45831700.0
1377,0.0,33.7639,-74.0,44888200.0
1378,0.0,33.7639,-96.0,45631400.0
1379,0.0,33.7639,-105.0,45831700.0
1380,0.0,33.7639,-71.0,44685900.0
1381,0.0,33.7639,-106.0,45833700.0
1382,0.0,33.7639,-81.0,45304800.0
1383,0.0,33.7639,-68.0,45212700.0
1384,0.0,33.7639,-91.0,45833700.0
1385,0.0,33.7639,-78.0,44685900.0
1386,0.0,33.7639,-85.0,45831700.0
1387,0.0,33.7639,-87.0,45716100.0
1388,0.0,33.7639,-99.0,44803500.0
1389,0.0,33.7639,-106.0,45831700.0
1390,0.0,33.7639,-75.0,44685900.0
1391,0.0,33.7639,-107.0,45833700.0
1392,0.0,79.8749,-69.0,10985700.0
1393,0.0,79.8749,-106.0,45831700.0
1394,0.0,79.8749,-82.0,45833700.0
1395,0.0,79.8749,-93.0,44685900.0
1396,0.0,79.8749,-89.0,45831700.0
1397,0.0,79.8749,-82.0,44687900.0
1398,0.0,79.8749,-103.0,45831700.0
1399,0.0,79.8749,-104.0,45831700.0
1400,0.0,79.8749,-71.0,44687900.0
1401,0.0,79.8749,-82.0,45831700.0
1402,0.0,79.8749,-69.0,44685900.0
1403,0.0,79.8749,-90.0,45833700.0
1404,0.0,79.8749,-80.0,45831700.0
1405,0.0,79.8749,-97.0,44685900.0
1406,0.0,79.8749,-84.0,45831700.0
1407,0.0,79.8749,-105.0,45099800.0
1408,0.0,79.8749,-99.0,45419700.0
1409,0.0,79.8749,-104.0,45831700.0
1410,0.0,79.8749,-82.0,44687900.0
1411,0.0,79.8749,-87.0,45831700.0
1412,0.0,79.8749,-99.0,45509100.0
1413,0.0,79.8749,-81.0,45010500.0
1414,0.0,79.8749,-84.0,45831700.0
1415,0.0,79.8749,-81.0,44685900.0
1416,0.0,79.8749,-76.0,45833700.0
1417,0.0,79.8749,-81.0,45831700.0
1418,0.0,79.8749,-80.0,44685900.0
1419,0.0,79.8749,-74.0,45833700.0
1420,0.0,79.8749,-102.0,44685900.0
1421,0.0,79.8749,-98.0,45831700.0
1422,0.0,79.8749,-90.0,45833700.0
1423,0.0,79.8749,-77.0,44685900.0
1424,0.0,79.8749,-70.0,45831700.0
1425,0.0,79.8749,-77.0,44687900.0
1426,0.0,79.8749,-98.0,45831700.0
1427,0.0,79.8749,-89.0,45831700.0
1428,0.0,79.8749,-76.0,44687900.0
1429,0.0,79.8749,-79.0,45831700.0
1430,0.0,79.8749,-79.0,44685900.0
1431,0.0,79.8749,-96.0,45833700.0
1432,0.0,79.8749,-88.0,45831700.0
1433,0.0,79.8749,-103.0,44685900.0
1434,0.0,79.8749,-75.0,45831700.0
1435,0.0,79.8749,-90.0,44687900.0
1436,0.0,79.8749,-69.0,45831700.0
1437,0.0,79.8749,-69.0,45831700.0
1438,0.0,79.8749,-96.0,44687900.0
1439,0.0,79.8749,-72.0,45831700.0
1440,0.0,79.8749,-76.0,44685900.0
1441,0.0,79.8749,-77.0,45833700.0
1442,0.0,79.8749,-102.0,45831700.0
1443,0.0,79.8749,-87.0,44685900.0
1444,0.0,79.8749,-101.0,45833700.0
1445,0.0,79.8749,-106.0,44685900.0
1446,0.0,79.8749,-68.0,45831700.0
1447,0.0,79.8749,-71.0,45833700.0
1448,0.0,79.8749,-98.0,44685900.0
1449,0.0,79.8749,-88.0,45831700.0
1450,0.0,79.8749,-103.0,44687900.0
1451,0.0,79.8749,-75.0,45831700.0
1452,0.0,79.8749,-110.0,45831700.0
1453,0.0,79.8749,-88.0,44687900.0
1454,0.0,79.8749,-102.0,45831700.0
1455,0.0,79.8749,-87.0,44888200.0
1456,0.0,79.8749,-88.0,45631400.0
1457,0.0,79.8749,-91.0,45831700.0
1458,0.0,79.8749,-95.0,44685900.0
1459,0.0,79.8749,-108.0,45833700.0
1460,0.0,79.8749,-104.0,45304800.0
1461,0.0,79.8749,-92.0,45212700.0
1462,0.0,79.8749,-106.0,45833700.0
1463,0.0,79.8749,-83.0,44685900.0
1464,0.0,79.8749,-87.0,45831700.0
1465,0.0,79.8749,-89.0,45716100.0
1466,0.0,79.8749,-81.0,44803500.0
1467,0.0,79.8749,-96.0,45831700.0
1468,0.0,79.8749,-81.0,44685900.0
1469,0.0,79.8749,-108.0,45833700.0
1470,0.0,89.1796,-87.0,28432.0
1471,0.0,89.1796,-102.0,2445820.0
1472,0.0,89.1796,-74.0,8067630.0
1473,0.0,89.1796,-92.0,9409370.0
1474,0.0,89.1796,-109.0,13617300.0
1475,0.0,89.1796,-101.0,5104780.0
1476,0.0,89.1796,-82.0,9456710.0
1477,0.0,89.1796,-66.0,22442000.0
1478,0.0,89.1796,-110.0,12125100.0
1479,0.0,89.1796,-91.0,12212300.0
1480,0.0,89.1796,-90.0,16012800.0
1481,0.0,89.1796,-83.0,1314040.0
1482,0.0,89.1796,-99.0,8430790.0
1483,0.0,89.1796,-73.0,1314040.0
1484,0.0,89.1796,-87.0,8619540.0
1485,0.0,89.1796,-88.0,1314040.0
1486,0.0,89.1796,-78.0,11079900.0
1487,0.0,89.1796,-104.0,1314040.0
1488,0.0,89.1796,-105.0,19250900.0
1489,0.0,89.1796,-85.0,1314040.0
1490,0.0,89.1796,-83.0,14919000.0
1491,0.0,89.1796,-95.0,1314030.0
1492,0.0,89.1796,-103.0,4170360.0
1493,0.0,89.1796,-67.0,1314030.0
1494,0.0,89.1796,-97.0,6321070.0
1495,0.0,89.1796,-92.0,1314040.0
1496,0.0,89.1796,-109.0,16170700.0
1497,0.0,89.1796,-100.0,1314040.0
1498,0.0,89.1796,-100.0,12116900.0
1499,0.0,89.1796,-87.0,1314040.0
1500,0.0,89.1796,-86.0,17087200.0
1501,0.0,89.1796,-81.0,1314040.0
1502,0.0,89.1796,-72.0,36484300.0
1503,0.0,89.1796,-83.0,1314040.0
1504,0.0,89.1796,-86.0,15758100.0
1505,0.0,89.1796,-70.0,1314030.0
1506,0.0,89.1796,-102.0,3713040.0
1507,0.0,89.1796,-89.0,1314040.0
1508,0.0,89.1796,-103.0,11675300.0
1509,0.0,89.1796,-74.0,1314030.0
1510,0.0,89.1796,-71.0,4006540.0
1511,0.0,161.062,-95.0,10985700.0
1512,0.0,161.062,-107.0,45831700.0
1513,0.0,161.062,-109.0,45833700.0
1514,0.0,161.062,-101.0,45831700.0
1515,0.0,161.062,-87.0,45831700.0
1516,0.0,161.062,-89.0,44687900.0
1517,0.0,161.062,-72.0,45831700.0
1518,0.0,161.062,-72.0,45831700.0
1519,0.0,161.062,-92.0,45833700.0
1520,0.0,161.062,-108.0,45831700.0
1521,0.0,161.062,-72.0,44685900.0
1522,0.0,161.062,-101.0,45833700.0
1523,0.0,161.062,-81.0,45831700.0
1524,0.0,161.062,-93.0,45831700.0
1525,0.0,161.062,-70.0,45833700.0
1526,0.0,161.062,-90.0,44685900.0
1527,0.0,161.062,-90.0,45831700.0
1528,0.0,161.062,-109.0,45831700.0
1529,0.0,161.062,-109.0,45833700.0
1530,0.0,161.062,-89.0,45831700.0
1531,0.0,161.062,-86.0,44685900.0
1532,0.0,161.062,-100.0,45833700.0
1533,0.0,161.062,-107.0,45831700.0
1534,0.0,161.062,-68.0,45831700.0
1535,0.0,161.062,-102.0,45833700.0
1536,0.0,161.062,-84.0,44685900.0
1537,0.0,161.062,-99.0,45831700.0
1538,0.0,161.062,-110.0,45833700.0
1539,0.0,161.062,-86.0,45831700.0
1540,0.0,161.062,-76.0,45831700.0
1541,0.0,161.062,-71.0,44687900.0
1542,0.0,161.062,-109.0,45831700.0
1543,0.0,161.062,-66.0,45831700.0
1544,0.0,161.062,-100.0,45833700.0
1545,0.0,161.062,-104.0,45831700.0
1546,0.0,161.062,-108.0,44685900.0
1547,0.0,161.062,-91.0,45833700.0
1548,0.0,161.062,-67.0,45831700.0
1549,0.0,161.062,-110.0,45831700.0
1550,0.0,161.062,-83.0,45833700.0
1551,0.0,161.062,-109.0,44685900.0
1552,0.0,161.062,-87.0,45831700.0
1553,0.0,161.062,-92.0,45833700.0
1554,0.0,161.062,-88.0,45831700.0
1555,0.0,161.062,-90.0,45831700.0
1556,0.0,161.062,-85.0,44808200.0
1557,0.0,161.062,-67.0,45711400.0
1558,0.0,161.062,-75.0,45831700.0
1559,0.0,161.062,-103.0,45833700.0
1560,0.0,161.062,-108.0,45831700.0
1561,0.0,161.062,-106.0,44784700.0
1562,0.0,161.062,-78.0,45732900.0
1563,0.0,161.062,-71.0,45833700.0
1564,0.0,161.062,-86.0,45831700.0
1565,0.0,161.062,-75.0,45831700.0
1566,0.0,161.062,-98.0,44932500.0
1567,0.0,161.062,-70.0,45587100.0
1568,0.0,161.062,-78.0,45831700.0
1569,0.0,161.062,-108.0,45833700.0
1570,0.0,161.062,-100.0,45831700.0
1571,0.0,161.062,-95.0,44859900.0
1572,0.0,161.062,-71.0,45659600.0
1573,0.0,161.062,-76.0,45831700.0
1574,0.0,161.062,-74.0,45831700.0
1575,0.0,161.062,-97.0,45833700.0
1576,0.0,161.062,-104.0,45001100.0
1577,0.0,161.062,-84.0,45516500.0
1578,0.0,161.062,-84.0,45833700.0
1579,0.0,161.062,-74.0,45831700.0
1580,0.0,161.062,-93.0,45831700.0
1581,0.0,161.062,-79.0,45005800.0
1582,0.0,161.062,-79.0,45513800.0
1583,0.0,161.062,-86.0,45831700.0
1584,0.0,161.062,-73.0,45833700.0
1585,0.0,161.062,-100.0,45831700.0
1586,0.0,161.062,-90.0,45179800.0
1587,0.0,161.062,-69.0,45339700.0
1588,0.0,156.837,-98.0,28432.0
1589,0.0,156.837,-108.0,2445830.0
1590,0.0,156.837,-101.0,44045400.0
1591,0.0,156.837,-87.0,13743200.0
1592,0.0,156.837,-73.0,27620200.0
1593,0.0,156.837,-81.0,14389900.0
1594,0.0,156.837,-71.0,13613800.0
1595,0.0,156.837,-110.0,5108310.0
1596,0.0,156.837,-67.0,9456710.0
1597,0.0,156.837,-109.0,25869900.0
1598,0.0,156.837,-109.0,16713000.0
1599,0.0,156.837,-71.0,11571800.0
1600,0.0,156.837,-92.0,11597900.0
1601,0.0,156.837,-89.0,6779690.0
1602,0.0,156.837,-106.0,1314040.0
1603,0.0,156.837,-72.0,8619540.0
1604,0.0,156.837,-84.0,1314040.0
1605,0.0,156.837,-75.0,11079900.0
1606,0.0,156.837,-90.0,1314040.0
1607,0.0,156.837,-108.0,19250900.0
1608,0.0,156.837,-78.0,1314040.0
1609,0.0,156.837,-74.0,14919000.0
1610,0.0,156.837,-95.0,1314030.0
1611,0.0,156.837,-107.0,4170360.0
1612,0.0,156.837,-77.0,1314030.0
1613,0.0,156.837,-71.0,6321070.0
1614,0.0,156.837,-88.0,1314040.0
1615,0.0,156.837,-77.0,16170700.0
1616,0.0,156.837,-100.0,1314040.0
1617,0.0,156.837,-106.0,12116900.0
1618,0.0,156.837,-86.0,1314040.0
1619,0.0,156.837,-82.0,17087200.0
1620,0.0,156.837,-96.0,1314040.0
1621,0.0,156.837,-96.0,36484300.0
1622,0.0,156.837,-85.0,1314040.0
1623,0.0,156.837,-98.0,15758100.0
1624,0.0,156.837,-92.0,1314030.0
1625,0.0,156.837,-110.0,3713040.0
1626,0.0,156.837,-100.0,1314040.0
1627,0.0,156.837,-66.0,11675300.0
1628,0.0,156.837,-75.0,1314030.0
1629,0.0,156.837,-106.0,4006540.0
1630,0.0,85.3053,-95.0,10985700.0
1631,0.0,85.3053,-101.0,45831700.0
1632,0.0,85.3053,-103.0,45833700.0
1633,0.0,85.3053,-82.0,44685900.0
1634,0.0,85.3053,-69.0,45831700.0
1635,0.0,85.3053,-110.0,44687900.0
1636,0.0,85.3053,-97.0,45831700.0
1637,0.0,85.3053,-108.0,45831700.0
1638,0.0,85.3053,-90.0,44687900.0
1639,0.0,85.3053,-86.0,45831700.0
1640,0.0,85.3053,-92.0,44685900.0
1641,0.0,85.3053,-102.0,45833700.0
1642,0.0,85.3053,-68.0,45831700.0
1643,0.0,85.3053,-67.0,44685900.0
1644,0.0,85.3053,-72.0,45831700.0
1645,0.0,85.3053,-105.0,45066900.0
1646,0.0,85.3053,-76.0,45452600.0
1647,0.0,85.3053,-86.0,45831700.0
1648,0.0,85.3053,-96.0,44687900.0
1649,0.0,85.3053,-104.0,45831700.0
1650,0.0,85.3053,-81.0,45447900.0
1651,0.0,85.3053,-85.0,45071600.0
1652,0.0,85.3053,-89.0,45831700.0
1653,0.0,85.3053,-96.0,44685900.0
1654,0.0,85.3053,-95.0,45833700.0
1655,0.0,85.3053,-90.0,45812900.0
1656,0.0,85.3053,-100.0,44704700.0
1657,0.0,85.3053,-109.0,45833700.0
1658,0.0,85.3053,-95.0,44685900.0
1659,0.0,85.3053,-95.0,45831700.0
1660,0.0,85.3053,-88.0,45833700.0
1661,0.0,85.3053,-70.0,44685900.0
1662,0.0,85.3053,-86.0,45831700.0
1663,0.0,85.3053,-70.0,44687900.0
1664,0.0,85.3053,-101.0,45831700.0
1665,0.0,85.3053,-73.0,45831700.0
1666,0.0,85.3053,-107.0,44687900.0
1667,0.0,85.3053,-81.0,45831700.0
1668,0.0,85.3053,-80.0,44685900.0
1669,0.0,85.3053,-97.0,45833700.0
1670,0.0,85.3053,-110.0,45831700.0
1671,0.0,85.3053,-83.0,44685900.0
1672,0.0,85.3053,-110.0,45831700.0
1673,0.0,85.3053,-89.0,44687900.0
1674,0.0,85.3053,-100.0,45831700.0
1675,0.0,85.3053,-66.0,45831700.0
1676,0.0,85.3053,-66.0,44687900.0
1677,0.0,85.3053,-79.0,45831700.0
1678,0.0,85.3053,-82.0,44685900.0
1679,0.0,85.3053,-109.0,45833700.0
1680,0.0,85.3053,-87.0,45831700.0
1681,0.0,85.3053,-106.0,44685900.0
1682,0.0,85.3053,-99.0,45833700.0
1683,0.0,85.3053,-90.0,44685900.0
1684,0.0,85.3053,-92.0,45831700.0
1685,0.0,85.3053,-78.0,45833700.0
1686,0.0,85.3053,-85.0,44685900.0
1687,0.0,85.3053,-70.0,45831700.0
1688,0.0,85.3053,-71.0,44687900.0
1689,0.0,85.3053,-87.0,45831700.0
1690,0.0,85.3053,-97.0,45831700.0
1691,0.0,85.3053,-106.0,44687900.0
1692,0.0,85.3053,-83.0,45831700.0
1693,0.0,85.3053,-68.0,44874000.0
1694,0.0,85.3053,-96.0,45645500.0
1695,0.0,85.3053,-83.0,45831700.0
1696,0.0,85.3053,-84.0,44685900.0
1697,0.0,85.3053,-83.0,45833700.0
1698,0.0,85.3053,-74.0,45257800.0
1699,0.0,85.3053,-68.0,45259800.0
1700,0.0,85.3053,-99.0,45833700.0
1701,0.0,85.3053,-83.0,44685900.0
1702,0.0,85.3053,-83.0,45831700.0
1703,0.0,85.3053,-86.0,45636100.0
1704,0.0,85.3053,-99.0,44883500.0
1705,0.0,85.3053,-107.0,45831700.0
1706,0.0,85.3053,-108.0,44685900.0
1707,0.0,85.3053,-67.0,45833700.0
1708,0.0,44.5533,-106.0,28432.0
1709,0.0,44.5533,-69.0,2445820.0
1710,0.0,44.5533,-97.0,8067630.0
1711,0.0,44.5533,-75.0,9409370.0
1712,0.0,44.5533,-71.0,13617300.0
1713,0.0,44.5533,-73.0,5104780.0
1714,0.0,44.5533,-95.0,9456710.0
1715,0.0,44.5533,-101.0,22442000.0
1716,0.0,44.5533,-92.0,12125100.0
1717,0.0,44.5533,-85.0,12212300.0
1718,0.0,44.5533,-105.0,16012800.0
1719,0.0,44.5533,-87.0,1314040.0
1720,0.0,44.5533,-94.0,8430790.0
1721,0.0,44.5533,-96.0,1314040.0
1722,0.0,44.5533,-74.0,8619540.0
1723,0.0,44.5533,-81.0,1314040.0
1724,0.0,44.5533,-97.0,11079900.0
1725,0.0,44.5533,-83.0,1314040.0
1726,0.0,44.5533,-100.0,19250900.0
1727,0.0,44.5533,-110.0,1314040.0
1728,0.0,44.5533,-96.0,14919000.0
1729,0.0,44.5533,-98.0,1314030.0
1730,0.0,44.5533,-69.0,4170360.0
1731,0.0,44.5533,-96.0,1314030.0
1732,0.0,44.5533,-106.0,6321070.0
1733,0.0,44.5533,-95.0,1314040.0
1734,0.0,44.5533,-93.0,16170700.0
1735,0.0,44.5533,-89.0,1314040.0
1736,0.0,44.5533,-88.0,12116900.0
1737,0.0,44.5533,-106.0,1314040.0
1738,0.0,44.5533,-92.0,17087200.0
1739,0.0,44.5533,-75.0,1314040.0
1740,0.0,44.5533,-96.0,36484300.0
1741,0.0,44.5533,-74.0,1314040.0
1742,0.0,44.5533,-86.0,15758100.0
1743,0.0,44.5533,-100.0,1314030.0
1744,0.0,44.5533,-79.0,3713040.0
1745,0.0,44.5533,-99.0,1314040.0
1746,0.0,44.5533,-92.0,11675300.0
1747,0.0,44.5533,-70.0,1314030.0
1748,0.0,44.5533,-106.0,4006540.0
1749,0.0,148.634,-100.0,28432.0
1750,0.0,148.634,-66.0,2445820.0
1751,0.0,148.634,-84.0,4388060.0
1752,0.0,148.634,-68.0,1946070.0
1753,0.0,148.634,-99.0,1995100.0
1754,0.0,148.634,-88.0,1866850.0
1755,0.0,148.634,-80.0,2710050.0
1756,0.0,148.634,-107.0,2072940.0
1757,0.0,148.634,-109.0,1830740.0
1758,0.0,148.634,-81.0,1314030.0
1759,0.0,148.634,-68.0,246568.0
1760,0.0,148.634,-100.0,1314030.0
1761,0.0,148.634,-84.0,50768.0
1762,0.0,148.634,-95.0,1314030.0
1763,0.0,148.634,-70.0,78296.0
1764,0.0,148.634,-102.0,1314030.0
1765,0.0,148.634,-68.0,939256.0
1766,0.0,148.634,-102.0,1314030.0
1767,0.0,148.634,-71.0,13928.0
1768,0.0,148.634,-70.0,691368.0
1769,0.0,148.634,-106.0,865352.0
1770,0.0,148.634,-96.0,1314030.0
1771,0.0,148.634,-107.0,570088.0
1772,0.0,148.634,-86.0,1314030.0
1773,0.0,148.634,-79.0,151320.0
1774,0.0,148.634,-95.0,1314030.0
1775,0.0,148.634,-98.0,692936.0
1776,0.0,148.634,-107.0,1314030.0
1777,0.0,148.634,-96.0,2355660.0
1778,0.0,148.634,-94.0,1314030.0
1779,0.0,148.634,-92.0,468768.0
1780,0.0,148.634,-75.0,575976.0
1781,0.0,148.634,-75.0,988872.0
1782,0.0,148.634,-83.0,645640.0
1783,0.0,27.9285,-89.0,28432.0
1784,0.0,27.9285,-71.0,2445830.0
1785,0.0,27.9285,-82.0,44045400.0
1786,0.0,27.9285,-83.0,13743200.0
1787,0.0,27.9285,-90.0,27620200.0
1788,0.0,27.9285,-68.0,14389900.0
1789,0.0,27.9285,-72.0,13613800.0
1790,0.0,27.9285,-70.0,5108310.0
1791,0.0,27.9285,-100.0,9456710.0
1792,0.0,27.9285,-99.0,25869900.0
1793,0.0,27.9285,-106.0,16713000.0
1794,0.0,27.9285,-85.0,11571800.0
1795,0.0,27.9285,-93.0,11597900.0
1796,0.0,27.9285,-97.0,6779690.0
1797,0.0,27.9285,-72.0,1314040.0
1798,0.0,27.9285,-84.0,8619540.0
1799,0.0,27.9285,-103.0,1314040.0
1800,0.0,27.9285,-110.0,11079900.0
1801,0.0,27.9285,-100.0,1314040.0
1802,0.0,27.9285,-85.0,19250900.0
1803,0.0,27.9285,-78.0,1314040.0
1804,0.0,27.9285,-81.0,14919000.0
1805,0.0,27.9285,-66.0,1314030.0
1806,0.0,27.9285,-87.0,4170360.0
1807,0.0,27.9285,-89.0,1314030.0
1808,0.0,27.9285,-73.0,6321070.0
1809,0.0,27.9285,-92.0,1314040.0
1810,0.0,27.9285,-88.0,16170700.0
1811,0.0,27.9285,-90.0,1314040.0
1812,0.0,27.9285,-108.0,12116900.0
1813,0.0,27.9285,-72.0,1314040.0
1814,0.0,27.9285,-67.0,17087200.0
1815,0.0,27.9285,-80.0,1314040.0
1816,0.0,27.9285,-92.0,36484300.0
1817,0.0,27.9285,-100.0,1314040.0
1818,0.0,27.9285,-67.0,15758100.0
1819,0.0,27.9285,-78.0,1314030.0
1820,0.0,27.9285,-109.0,3713040.0
1821,0.0,27.9285,-108.0,1314040.0
1822,0.0,27.9285,-109.0,11675300.0
1823,0.0,27.9285,-66.0,1314030.0
1824,0.0,27.9285,-106.0,4006540.0
1825,0.0,99.1211,-70.0,28432.0
1826,0.0,99.1211,-71.0,2445820.0
1827,0.0,99.1211,-71.0,8067630.0
1828,0.0,99.1211,-85.0,9409370.0
1829,0.0,99.1211,-103.0,13617300.0
1830,0.0,99.1211,-76.0,5104780.0
1831,0.0,99.1211,-86.0,9456710.0
1832,0.0,99.1211,-90.0,22442000.0
1833,0.0,99.1211,-81.0,12125100.0
1834,0.0,99.1211,-90.0,12212300.0
1835,0.0,99.1211,-84.0,16012800.0
1836,0.0,99.1211,-96.0,1314040.0
1837,0.0,99.1211,-69.0,8430790.0
1838,0.0,99.1211,-109.0,1314040.0
1839,0.0,99.1211,-88.0,8619540.0
1840,0.0,99.1211,-91.0,1314040.0
1841,0.0,99.1211,-109.0,11079900.0
1842,0.0,99.1211,-73.0,1314040.0
1843,0.0,99.1211,-71.0,19250900.0
1844,0.0,99.1211,-71.0,1314040.0
1845,0.0,99.1211,-88.0,14919000.0
1846,0.0,99.1211,-106.0,1314030.0
1847,0.0,99.1211,-108.0,4170360.0
1848,0.0,99.1211,-106.0,1314030.0
1849,0.0,99.1211,-97.0,6321070.0
1850,0.0,99.1211,-77.0,1314040.0
1851,0.0,99.1211,-80.0,16170700.0
1852,0.0,99.1211,-68.0,1314040.0
1853,0.0,99.1211,-96.0,12116900.0
1854,0.0,99.1211,-99.0,1314040.0
1855,0.0,99.1211,-84.0,17087200.0
1856,0.0,99.1211,-108.0,1314040.0
1857,0.0,99.1211,-76.0,36484300.0
1858,0.0,99.1211,-106.0,1314040.0
1859,0.0,99.1211,-87.0,15758100.0
1860,0.0,99.1211,-109.0,1314030.0
1861,0.0,99.1211,-104.0,3713040.0
1862,0.0,99.1211,-106.0,1314040.0
1863,0.0,99.1211,-82.0,11675300.0
1864,0.0,99.1211,-89.0,1314030.0
1865,0.0,99.1211,-86.0,4006540.0
1866,0.0,100.0,-90.0,19024.0
1867,0.0,100.0,-78.0,1147520.0
1868,0.0,100.0,-75.0,3069420.0
1869,0.0,100.0,-86.0,2631060.0
1870,0.0,100.0,-81.0,1950780.0
1871,0.0,100.0,-106.0,1943350.0
1872,0.0,100.0,-98.0,798432.0
1873,0.0,100.0,-99.0,1364770.0
1874,0.0,100.0,-104.0,2775900.0
1875,0.0,100.0,-86.0,2119980.0
1876,0.0,100.0,-91.0,1463820.0
1877,0.0,100.0,-92.0,6320.0
1878,0.0,100.0,-86.0,1554280.0
1879,0.0,100.0,-105.0,6320.0
1880,0.0,100.0,-72.0,1358480.0
1881,0.0,100.0,-73.0,6320.0
1882,0.0,100.0,-107.0,1386010.0
1883,0.0,100.0,-99.0,6320.0
1884,0.0,100.0,-76.0,2246970.0
1885,0.0,100.0,-91.0,6320.0
1886,0.0,100.0,-110.0,1321640.0
1887,0.0,100.0,-80.0,6312.0
1888,0.0,100.0,-108.0,685056.0
1889,0.0,100.0,-78.0,6312.0
1890,0.0,100.0,-67.0,859040.0
1891,0.0,100.0,-86.0,6320.0
1892,0.0,100.0,-81.0,1877800.0
1893,0.0,100.0,-73.0,6320.0
1894,0.0,100.0,-77.0,1459030.0
1895,0.0,100.0,-94.0,6320.0
1896,0.0,100.0,-97.0,2000650.0
1897,0.0,100.0,-80.0,6320.0
1898,0.0,100.0,-94.0,3663370.0
1899,0.0,100.0,-98.0,6320.0
1900,0.0,100.0,-70.0,1776480.0
1901,0.0,100.0,-88.0,6312.0
1902,0.0,100.0,-76.0,569664.0
1903,0.0,100.0,-75.0,6320.0
1904,0.0,100.0,-82.0,982552.0
1905,0.0,100.0,-102.0,6312.0
1906,0.0,100.0,-105.0,639328.0
1907,0.0,169.544,-70.0,28432.0
1908,0.0,169.544,-91.0,2445820.0
1909,0.0,169.544,-87.0,4388060.0
1910,0.0,169.544,-88.0,1946070.0
1911,0.0,169.544,-103.0,1995100.0
1912,0.0,169.544,-91.0,1866850.0
1913,0.0,169.544,-79.0,2710050.0
1914,0.0,169.544,-83.0,2072940.0
1915,0.0,169.544,-96.0,1830740.0
1916,0.0,169.544,-102.0,1314030.0
1917,0.0,169.544,-79.0,246568.0
1918,0.0,169.544,-71.0,1314030.0
1919,0.0,169.544,-106.0,50768.0
1920,0.0,169.544,-108.0,1314030.0
1921,0.0,169.544,-80.0,78296.0
1922,0.0,169.544,-78.0,1314030.0
